 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Fitchet A & Stubbs M,Fitchet A & Stubbs M,1990,2,1.93,0,3.28,0,0,0,0,0,0
1990 - Floyd W & Hobbs Jocelyn,Floyd W & Hobbs Jocelyn,1990,1,0,0,0,0,0,24.93,0,0,0
1990 - Flynn Dave,Flynn Dave,1990,3,1.88,2.57,0,5.27,0,0,0,0,0
1990 - Foiers A,Foiers A,1990,4,2.12,2.83,3.53,5.65,0,0,0,0,0
1990 - Foord A J & Scragg Gareth,Foord A J & Scragg Gareth,1990,5,1.87,2.5,3.22,5.22,0,16.68,0,0,0
1990 - Forbes M & Tompkins D S,Forbes M & Tompkins D S,1990,1,0,0,0,0,23,0,0,0,0
1990 - Ford M & Watkins J,Ford M & Watkins J,1990,3,2.13,0,3.62,5.87,0,0,0,0,0
1990 - Foreman M & Hamkari J S,Foreman M & Hamkari J S,1990,1,0,0,0,0,29.82,0,0,0,0
1990 - Fox L & Jones A1,Fox L & Jones A1,1990,1,0,0,0,0,72.18,0,0,0,0
1990 - Frazer & Lodge T,Frazer & Lodge T,1990,2,2.27,0,0,6.38,0,0,0,0,0
1990 - Fuller J & Smith A,Fuller J & Smith A,1990,2,2.92,0,4.83,0,0,0,0,0,0
1990 - Gallichan Susan Claire & Smith M A,Gallichan Susan Claire & Smith M A,1990,1,0,0,0,0,0,23.95,0,0,0
1990 - Gandy Brian & Hicks Charles,Gandy Brian & Hicks Charles,1990,4,2.28,3.15,3.87,6.23,0,0,0,0,0
1990 - Gandy Michael & Parker J,Gandy Michael & Parker J,1990,1,2.03,0,0,0,0,0,0,0,0
1990 - Gandy Michael & Parser J,Gandy Michael & Parser J,1990,1,0,2.7,0,0,0,0,0,0,0
1990 - Gardner P,Gardner P,1990,1,2.08,0,0,0,0,0,0,0,0
